Finacial Rate,Amount in PLN,Company
Kapitał własny udziałowców podmiotu dominującego,34055000000.0,PZU
Kapitał podstawowy,86000000.0,PZU
Przepływy operacyjne,5633000000.0,PZU
Przepływy inwestycyjne,3372000000.0,PZU
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-269000000.0,PZU
Przepływy finansowe,-1927000000.0,PZU
Przepływy pieniężne netto,7078000000.0,PZU
EBITDA,5330000000.0,PZU
Stopa zwrotu z kapitału własnego (ROE),0.2,PZU
Stopa zwrotu z aktywów (ROA),0.03,PZU
Przychody ze sprzedaży,5952346000.0,Santander
Zysk/strata ze sprzedaży,2777289000.0,Santander
Pozostałe przychody operacyjne,45794000.0,Santander
Zysk/strata z działalności operacyjnej,2518414000.0,Santander
Zysk/strata brutto,2332225000.0,Santander
zysk/strata netto udziałowców jednostki dominującej,1733624000.0,Santander
Amortyzacja (noty),161838000.0,Santander
AKTYWA,313716818000.0,Santander
Kapitał własny udziałowców podmiotu dominującego,34579165000.0,Santander
Kapitał podstawowy,1021893000.0,Santander
Przepływy operacyjne,6385813000.0,Santander
Przepływy inwestycyjne,-5136814000.0,Santander
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-88018000.0,Santander
Przepływy finansowe,-311747000.0,Santander
Przepływy pieniężne netto,937252000.0,Santander
EBITDA,2680252000.0,Santander
Stopa zwrotu z kapitału własnego (ROE),0.16,Santander
Stopa zwrotu z aktywów (ROA),0.02,Santander
Przychody ze sprzedaży,5666000000.0,Żabka
Zysk/strata ze sprzedaży,626000000.0,Żabka
Pozostałe przychody operacyjne,5000000.0,Żabka
Zysk/strata z działalności operacyjnej,106000000.0,Żabka
Przychody finansowe,24000000.0,Żabka
Zysk/strata brutto,-121000000.0,Żabka
zysk/strata netto udziałowców jednostki dominującej,-125000000.0,Żabka
Amortyzacja (noty),439000000.0,Żabka
AKTYWA,17321000000.0,Żabka
Aktywa trwałe,13349000000.0,Żabka
Aktywa obrotowe,3972000000.0,Żabka
Kapitał własny udziałowców podmiotu dominującego,1321000000.0,Żabka
Kapitał podstawowy,120000000.0,Żabka
Zobowiązania długoterminowe,8683000000.0,Żabka
Zobowiązania krótkoterminowe,7317000000.0,Żabka
Przepływy operacyjne,572000000.0,Żabka
Przepływy inwestycyjne,-506000000.0,Żabka
Nabycie rzeczowych aktywów trwałych oraz wartości niematerialnych,-517000000.0,Żabka
Przepływy finansowe,-264000000.0,Żabka
Przepływy pieniężne netto,-198000000.0,Żabka
EBITDA,545000000.0,Żabka
Wskaźnik płynności bieżącej,0.54,Żabka
Wskaźnik płynności szybkiej,0.41,Żabka
Wskaźnik obsługi zadłużenia,3.3,Żabka
